period_start,period_end,effective_as_of_date,universe,benchmark,universe_symbol_count,benchmark_symbol,strategy,symbol,signal_date,entry_price,exit_date_15d,exit_15d_close,return_15d,benchmark_return_15d,alpha_15d,beat_xu100_15d,exit_date_30d,exit_30d_close,return_30d,benchmark_return_30d,alpha_30d,beat_xu100_30d,exit_date_to_current,exit_price_to_current,return_to_current,benchmark_return_to_current,alpha_to_current,beat_xu100_to_current,interest_score,rvol_20d,turnover_ratio_20d,close_position,daily_return_pct,near_20d_high_pct,above_ma20,above_ma50
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,PNLSN,2026-04-10,45.32,2026-05-05 09:00:00,45.2,-0.26478375992938785,2.998339466483446,-3.263123226412834,False,,,,,,,2026-05-08 09:00:00,48.28,6.531332744924989,7.026252345672335,-0.49491960074734553,False,35.0,1.5995963928533363,1.5054230299663132,0.6407766990291256,3.0468394724874948,,False,False
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,SASA,2026-04-10,2.62,2026-05-05 09:00:00,2.99,14.122137404580148,2.998339466483446,11.1237979380967,True,,,,,,,2026-05-08 09:00:00,3.52,34.35114503816794,7.026252345672335,27.32489269249561,True,80.0,2.2610395671661943,2.439361357167674,0.894736842105263,6.938775510204076,,True,True
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,SURGY,2026-04-10,61.15,2026-05-05 09:00:00,74.75,22.240392477514305,2.998339466483446,19.24205301103086,True,,,,,,,2026-05-08 09:00:00,80.3,31.316434995911703,7.026252345672335,24.290182650239366,True,100.0,3.428682628167286,3.7597183786235573,1.0,9.982014388489201,,True,True
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,SUWEN,2026-04-10,9.16,2026-05-05 09:00:00,8.69,-5.131004366812231,2.998339466483446,-8.129343833295678,False,,,,,,,2026-05-08 09:00:00,9.02,-1.5283842794759916,7.026252345672335,-8.554636625148326,False,60.0,2.2906709810219423,2.3709385365169515,0.882352941176473,1.3274336283185972,,True,True
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,TBORG,2026-04-10,147.9,2026-05-05 09:00:00,142.6,-3.583502366463831,2.998339466483446,-6.581841832947277,False,,,,,,,2026-05-08 09:00:00,147.8,-0.06761325219742931,7.026252345672335,-7.093865597869764,False,40.0,1.8335580473995112,1.829639119577859,0.9600000000000023,1.5796703296703463,,True,False
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,TCKRC,2026-04-10,98.1,2026-05-05 09:00:00,110.0,12.130479102956171,2.998339466483446,9.132139636472726,True,,,,,,,2026-05-08 09:00:00,111.7,13.863404689092773,7.026252345672335,6.837152343420438,True,80.0,2.0161830921369286,2.1565621495167875,0.9473684210526303,7.683863885839748,,True,True
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,TLMAN,2026-04-10,94.25,2026-05-05 09:00:00,94.95,0.7427055702917906,2.998339466483446,-2.2556338961916556,False,,,,,,,2026-05-08 09:00:00,100.0,6.10079575596818,7.026252345672335,-0.9254565897041545,False,80.0,4.954743508258735,5.257584331434413,0.825242718446601,4.664075513603549,,True,True
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,TMPOL,2026-04-10,598.0,2026-05-05 09:00:00,444.75,-25.627090301003342,2.998339466483446,-28.62542976748679,False,,,,,,,2026-05-08 09:00:00,355.75,-40.51003344481605,7.026252345672335,-47.536285790488385,False,70.0,1.8019289055529983,1.9323077583221102,1.0,9.926470588235304,,True,True
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,TTRAK,2026-04-10,478.0,2026-05-05 09:00:00,446.25,-6.642259414225937,2.998339466483446,-9.640598880709383,False,,,,,,,2026-05-08 09:00:00,453.0,-5.230125523012552,7.026252345672335,-12.256377868684886,False,50.0,1.670956261889639,1.7591008339817942,0.8767123287671232,3.1283710895361416,,True,False
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,VESTL,2026-04-10,28.28,2026-05-05 09:00:00,27.8,-1.6973125884017004,2.998339466483446,-4.695652054885146,False,,,,,,,2026-05-08 09:00:00,28.62,1.2022630834511938,7.026252345672335,-5.823989262221141,False,50.0,2.2322544907504374,2.2122870126451333,0.767441860465117,2.76162790697676,,False,False
