period_start,period_end,effective_as_of_date,universe,benchmark,universe_symbol_count,benchmark_symbol,strategy,basket_mode,quality_filter_enabled,min_last_turnover_try,min_avg_turnover_20d_try,max_rsi_14,max_return_5d_pct,max_return_10d_pct,require_strong_close,min_close_position,signal_count_before_quality_filter,signal_count_after_quality_filter,filtered_out_count,signal_count,unique_symbol_count,basket_return_15d,basket_return_30d,benchmark_return_15d,benchmark_return_30d,basket_alpha_15d,basket_alpha_30d,basket_return_to_current,benchmark_return_to_current,basket_alpha_to_current,avg_return_15d,avg_return_30d,avg_return_to_current,median_return_15d,median_return_30d,median_return_to_current,trimmed_mean_return_15d,trimmed_mean_return_30d,trimmed_mean_return_to_current,avg_alpha_15d,avg_alpha_30d,avg_alpha_to_current,median_alpha_15d,median_alpha_30d,median_alpha_to_current,trimmed_mean_alpha_15d,trimmed_mean_alpha_30d,trimmed_mean_alpha_to_current,positive_rate_15d,positive_rate_30d,positive_rate_to_current,beat_rate_15d,beat_rate_30d,beat_rate_to_current,valid_return_15d_count,valid_return_30d_count,valid_return_to_current_count,best_symbol_15d,best_return_15d,worst_symbol_15d,worst_return_15d,best_symbol_30d,best_return_30d,worst_symbol_30d,worst_return_30d,best_symbol_to_current,best_return_to_current,worst_symbol_to_current,worst_return_to_current,top_1_contribution_30d_pct,top_3_contribution_30d_pct,top_1_contribution_to_current_pct,top_3_contribution_to_current_pct,outlier_warning,low_sample_warning
2024-11-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,first_signal_per_symbol,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,2981,1098,1883,427,427,3.945382028650446,10.352194662219022,2.6946627200229534,5.9799281066901315,1.2507193086274926,4.37226655552889,84.07243794572379,44.84952915288085,39.222908792842944,3.945382028650446,10.352194662219022,84.07243794572379,-1.4415045244223712,0.15035352760529586,20.22900763358777,0.02227219504053101,3.2891344016778703,31.689274975687756,1.250719308627492,4.372266555528891,39.2229087928429,-3.6680663676416203,-2.899669676543515,-18.294337715209853,-2.1866805819311526,-1.5952850089309025,-11.768491926155713,0.4444444444444444,0.5027624309392266,0.7306791569086651,0.3888888888888889,0.4171270718232044,0.33021077283372363,396,362,427,CEMAS,187.19512195121953,BORLS,-76.7557251908397,SMRVA,462.03389830508473,BORLS,-88.47328244274809,TRHOL,7845.516458569808,VSNMD,-75.05154639175258,12.329141571375928,26.633920958820145,21.85445705319923,38.24929182489384,True,False
2024-12-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,first_signal_per_symbol,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,2820,1034,1786,418,418,2.5651505827041383,9.698665928775831,1.8199419470615874,5.512273791482489,0.7452086356425509,4.186392137293343,78.90578063694693,42.776437563601974,36.129343073344955,2.5651505827041383,9.698665928775831,78.90578063694693,-2.9112606369969987,-0.8288639687957233,18.8930949525843,-1.3138398975689283,2.398211123494603,28.673597263519518,0.7452086356425515,4.186392137293342,36.12934307334502,-4.006668704740757,-3.3200125405239866,-17.993934313467573,-2.6678506080164133,-2.04813619564889,-12.734901376848113,0.4067357512953368,0.47863247863247865,0.7200956937799043,0.3704663212435233,0.4131054131054131,0.3157894736842105,386,351,418,CEMAS,187.19512195121953,BORLS,-76.7557251908397,SMRVA,462.03389830508473,BORLS,-88.47328244274809,TRHOL,7845.516458569808,VSNMD,-75.05154639175258,13.572339765838572,29.31952905698158,23.78682268781874,37.85858441614408,True,False
2025-01-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,first_signal_per_symbol,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,2671,976,1695,413,413,2.8451656387811415,10.536568055006098,2.2064448260134375,6.437039907357545,0.638720812767704,4.099528147648553,61.817223381674104,42.873708897794494,18.94351448387961,2.8451656387811415,10.536568055006098,61.817223381674104,-2.9391660970608413,-0.4326328800988932,18.460490463215272,-1.181650737758486,2.9597807818703075,28.277353177934184,0.6387208127677036,4.099528147648552,18.943514483879607,-4.249413956172365,-4.734801752143825,-17.604006011953352,-2.9257977222162395,-2.6520063668874734,-13.208656370762482,0.4015748031496063,0.4927536231884058,0.7167070217917676,0.3648293963254593,0.4057971014492754,0.3196125907990315,381,345,413,CEMAS,187.19512195121953,BORLS,-76.7557251908397,SMRVA,462.03389830508473,BORLS,-88.47328244274809,TERA,2999.0990990990995,VSNMD,-75.05154639175258,12.710293178461335,27.457300406421624,11.747116358187982,23.39856762315648,True,False
2025-02-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,first_signal_per_symbol,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,2527,921,1606,407,407,4.535878728578309,12.733386432508587,2.680008322629769,7.18678720189306,1.85587040594854,5.546599230615526,54.931027613099275,42.01494674311009,12.916080869989187,4.535878728578309,12.733386432508587,54.931027613099275,-1.6475644699140424,2.2396055773777013,18.014184397163135,0.48005838882962815,5.348745380394253,28.604995270224627,1.8558704059485396,5.546599230615527,12.916080869989198,-3.3107711359882117,-2.2518111890794335,-16.097485731951977,-1.641063973038519,-0.9045729569832681,-11.913165754323519,0.4528301886792453,0.5359281437125748,0.7223587223587223,0.3908355795148248,0.44610778443113774,0.32186732186732187,371,334,407,CEMAS,187.19512195121953,BORLS,-76.7557251908397,SMRVA,462.03389830508473,BORLS,-88.47328244274809,KTLEV,1642.1360792833113,VSNMD,-75.05154639175258,10.863842326608744,23.468520996445257,7.345088116591731,18.37045604910749,True,False
2025-03-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,first_signal_per_symbol,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,2402,886,1516,400,400,5.0553884124624915,13.267562754015817,2.7619889912748152,7.556114577738016,2.2933994211876763,5.711448176277801,51.53703549268782,40.98923455350966,10.54780093917816,5.0553884124624915,13.267562754015817,51.53703549268782,-1.3029682960717437,2.2396055773777013,17.636573278698886,0.9485549087462114,5.904448224156111,26.908904093584557,2.2933994211876767,5.711448176277802,10.547800939178225,-3.1017136716049274,-2.572761892537284,-15.986169308631471,-1.1537917124268946,-0.7286049132040944,-12.60140087240605,0.46408839779005523,0.5339506172839507,0.7175,0.40331491712707185,0.4382716049382716,0.3175,362,324,400,CEMAS,187.19512195121953,BORLS,-76.7557251908397,SMRVA,462.03389830508473,BORLS,-88.47328244274809,KTLEV,1642.1360792833113,VSNMD,-75.05154639175258,10.748248014826277,23.21880938874897,7.965805869432968,20.643203827995073,True,False
2025-04-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,first_signal_per_symbol,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,2220,828,1392,393,393,4.472441971886714,11.349365433216311,4.482137728818485,9.982942068885436,-0.009695756931771271,1.3664233643308759,47.360747994008584,40.5784209698735,6.7823270241350855,4.472441971886714,11.349365433216311,47.360747994008584,-0.38387715930902067,3.5836917025035886,15.254237288135597,1.2788610883553369,6.1053203795752555,24.03002724912004,-0.009695756931771245,1.366423364330877,6.782327024135194,-4.017592810355753,-3.880755940743258,-18.130318616454417,-2.5554984407122068,-2.768970809751406,-14.743384827377648,0.49291784702549574,0.5576923076923077,0.7073791348600509,0.35694050991501414,0.3974358974358974,0.30025445292620867,353,312,393,AHSGY,154.24107142857144,BORLS,-76.7557251908397,BURCE,272.6775956284153,BORLS,-88.47328244274809,KTLEV,1642.1360792833113,VSNMD,-75.05154639175258,7.700577250753857,20.349969192720845,8.822629462256394,22.863642583496418,False,False
2025-05-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,first_signal_per_symbol,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,2037,774,1263,383,383,6.4138707896363485,14.047996686372619,4.602136130613171,10.358866665327882,1.8117346590231778,3.689130021044736,41.47272295440303,37.6255567361593,3.8471662182437356,6.4138707896363485,14.047996686372619,41.47272295440303,0.5747126436781658,4.894049284058299,14.044512663085174,2.542886458259793,8.100564387985157,22.027500642290295,1.8117346590231778,3.689130021044737,3.8471662182438786,-3.5475954075817837,-3.223142152148863,-17.472429045770134,-1.3596620722098445,-1.0231799243327089,-14.08073722212674,0.5190615835777126,0.5906040268456376,0.6971279373368147,0.3870967741935484,0.41946308724832215,0.30809399477806787,341,298,383,IEYHO,220.53742802303265,BORLS,-76.7557251908397,IEYHO,389.7632757517594,BORLS,-88.47328244274809,ODINE,1481.0276679841897,VSNMD,-75.05154639175258,9.31044108809896,22.115792601327332,9.323991037409215,21.244786631820936,False,False
2025-06-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,first_signal_per_symbol,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1891,724,1167,375,375,6.302866246698959,14.777832605039261,4.856728286915705,10.472909513405533,1.446137959783254,4.304923091633729,39.32884414251959,34.90437652655019,4.424467615969405,6.302866246698959,14.777832605039261,39.32884414251959,1.1173184357541999,6.4461407972858265,11.54489682097044,2.6575702736128384,9.08616591574937,19.975981309634285,1.4461379597832547,4.304923091633731,4.424467615969496,-3.552675563808916,-2.45599410549473,-17.09161886284221,-1.5536301078902457,-0.23876011135826147,-13.619635680191069,0.5227963525835866,0.6175438596491228,0.6906666666666667,0.3981762917933131,0.43859649122807015,0.30933333333333335,329,285,375,IEYHO,220.53742802303265,BORLS,-76.7557251908397,IEYHO,389.7632757517594,BORLS,-88.47328244274809,ODINE,1481.0276679841897,VSNMD,-86.31221719457014,9.254337072189418,21.982524502832725,10.042011660227471,22.880802246574202,False,False
2025-07-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,first_signal_per_symbol,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1759,670,1089,364,364,4.272576082860671,11.272159281775126,3.6841486709520175,8.672044301047901,0.5884274119086537,2.6001149807272252,32.182672705946956,31.338997392508464,0.8436753134384922,4.272576082860671,11.272159281775126,32.182672705946956,-1.2197864182756368,1.659324646692395,8.920532290980754,0.9861436775817549,5.126060516471885,15.835250846382893,0.5884274119086546,2.6001149807272235,0.8436753134385865,-3.9624997621022615,-4.537886397587332,-17.01311450997991,-2.19207833236489,-2.3052455647121013,-14.43349859698475,0.46226415094339623,0.5220588235294118,0.6538461538461539,0.3805031446540881,0.39705882352941174,0.3021978021978022,318,272,364,IEYHO,220.53742802303265,BORLS,-76.7557251908397,IEYHO,389.7632757517594,BORLS,-88.47328244274809,TRHOL,1132.3943661971832,VSNMD,-86.31221719457014,12.712322314256069,30.196537534906152,9.666610234437975,21.872423290642786,False,False
2025-08-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,first_signal_per_symbol,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1530,593,937,347,347,1.2612244673364812,5.36590872469588,3.1508371947467433,7.714830684282917,-1.889612727410262,-2.3489219595870363,24.471511329506463,28.449015457183123,-3.97750412767666,1.2612244673364812,5.36590872469588,24.471511329506463,-3.356056633455695,-2.030008826125329,6.448911222780573,-1.6096150060194008,0.5105876567926004,11.724288672018762,-1.8896127274102623,-2.348921959587036,-3.9775041276765726,-5.536784058063049,-7.0125138015682875,-17.121208060687778,-4.406857954869214,-5.94745519257787,-15.623084525362392,0.3939393939393939,0.42971887550200805,0.6138328530259366,0.3265993265993266,0.3253012048192771,0.2881844380403458,297,249,347,IEYHO,220.53742802303265,BORLS,-76.7557251908397,IEYHO,389.7632757517594,BORLS,-88.47328244274809,GUNDG,761.1111111111111,BORLS,-73.2442748091603,29.17146825932171,46.8335324130027,8.96309079110082,23.210238424772438,False,False
2025-09-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,first_signal_per_symbol,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1332,515,817,324,324,0.694746485539657,2.9215626144442703,4.5029072929996685,7.503045283768639,-3.8081608074600117,-4.581482669324369,21.844441891048202,26.438672601090403,-4.594230710042201,0.694746485539657,2.9215626144442703,21.844441891048202,-3.356056633455695,-2.213279678068414,6.59284582554206,-1.5661388650421884,-0.179312945390171,11.0178807840293,-3.8081608074600104,-4.581482669324368,-4.594230710042124,-6.774449609325373,-8.430193960485532,-14.438666754650464,-5.664877402520781,-6.927136077244977,-13.967254933597156,0.3903345724907063,0.4354066985645933,0.6265432098765432,0.2936802973977695,0.31100478468899523,0.28703703703703703,269,209,324,GUNDG,141.4141414141414,BORLS,-76.7557251908397,MANAS,108.09392108444614,BORLS,-88.47328244274809,GUNDG,761.1111111111111,BORLS,-73.2442748091603,17.70271128557691,50.0606024280234,10.75380355031888,24.01166070742345,False,False
2025-10-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,first_signal_per_symbol,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1197,450,747,299,299,1.8643885991794564,2.9250595997405116,5.692450092762859,8.765612482219204,-3.8280614935834025,-5.8405528824786925,20.971547843915978,24.04579946377333,-3.0742516198573533,1.8643885991794564,2.9250595997405116,20.971547843915978,-2.214348981399472,-2.186311787072248,7.592975206611574,-0.5529060927585189,-0.34393381426114544,11.513701759126365,-3.8280614935834025,-5.840552882478689,-3.0742516198573595,-6.614299504355303,-9.194504012849137,-11.669783263540157,-5.8614312904824395,-8.812351521060087,-10.836100286702226,0.42677824267782427,0.42857142857142855,0.6454849498327759,0.27615062761506276,0.26285714285714284,0.3177257525083612,239,175,299,GUNDG,141.4141414141414,QUAGR,-62.97093649085037,MANAS,108.09392108444614,QUAGR,-69.7524219590958,GUNDG,761.1111111111111,SMRVA,-68.26879009325873,21.116819264427082,59.71518580897758,12.13797917867078,22.043934420279392,False,False
2025-11-01,2026-05-08,2026-05-08,XUTUM,XU100,567,XU100,volume_spike_strict,first_signal_per_symbol,True,10000000.0,10000000.0,78.0,35.0,60.0,True,0.6,1047,388,659,278,278,1.7723466501609646,4.52062803484233,6.436842517150048,9.438106301311967,-4.664495866989083,-4.917478266469637,19.506107354369227,20.543265044543887,-1.0371576901746593,1.7723466501609646,4.52062803484233,19.506107354369227,-1.6441273577606108,-0.9829619921363109,7.7533906779414075,0.13305112681058845,1.2308549006387506,11.805421925615487,-4.664495866989083,-4.917478266469637,-1.0371576901746526,-6.756786787988794,-9.299053190027639,-10.382775050112558,-6.110078796751497,-8.29766772241018,-7.334857751811536,0.4583333333333333,0.4899328859060403,0.6510791366906474,0.25925925925925924,0.28187919463087246,0.34172661870503596,216,149,278,BAHKM,140.63324538258576,QUAGR,-62.97093649085037,MANAS,108.09392108444614,QUAGR,-69.7524219590958,ODINE,351.552210724365,TDGYO,-57.585365853658544,16.04782680685727,47.43081837582573,6.482976201227572,16.450486532421145,False,False
