period_start,period_end,strategy,baseline_signal_count,baseline_basket_return_15d,baseline_basket_return_30d,baseline_basket_return_to_current,baseline_benchmark_return_to_current,baseline_alpha_to_current,quality_signal_count,quality_basket_return_15d,quality_basket_return_30d,quality_basket_return_to_current,quality_benchmark_return_to_current,quality_alpha_to_current,quality_minus_baseline_alpha_to_current
2024-11-01,2026-05-08,volume_spike_strict,550,6.345436212808203,15.538202003950577,110.76263847093409,54.08899198612317,56.673646484810924,427,3.945382028650446,10.352194662219022,84.07243794572379,44.84952915288085,39.222908792842944,-17.45073769196798
2024-12-01,2026-05-08,volume_spike_strict,550,4.314810973128219,14.841122325538363,103.9016979708611,50.63241552646098,53.26928244440011,418,2.5651505827041383,9.698665928775831,78.90578063694693,42.776437563601974,36.129343073344955,-17.139939371055156
2025-01-01,2026-05-08,volume_spike_strict,550,5.34452297281421,16.8432724226999,100.5315545528679,50.688199855260216,49.84335469760769,413,2.8451656387811415,10.536568055006098,61.817223381674104,42.873708897794494,18.94351448387961,-30.899840213728076
2025-02-01,2026-05-08,volume_spike_strict,549,8.30869703270535,21.17680983070249,95.03183726201588,50.93389276278916,44.09794449922673,407,4.535878728578309,12.733386432508587,54.931027613099275,42.01494674311009,12.916080869989187,-31.18186362923754
2025-03-01,2026-05-08,volume_spike_strict,548,8.737832715613527,20.161528373335337,81.184356228336,50.43588422730235,30.748472001033647,400,5.0553884124624915,13.267562754015817,51.53703549268782,40.98923455350966,10.54780093917816,-20.200671061855488
2025-04-01,2026-05-08,volume_spike_strict,548,9.10768515252463,18.456359715942,67.50270219854255,52.7970305159348,14.70567168260775,393,4.472441971886714,11.349365433216311,47.360747994008584,40.5784209698735,6.7823270241350855,-7.923344658472665
2025-05-01,2026-05-08,volume_spike_strict,548,9.904186053998043,18.46029093920319,61.33535273969616,47.84228371083933,13.49306902885683,383,6.4138707896363485,14.047996686372619,41.47272295440303,37.6255567361593,3.8471662182437356,-9.645902810613094
2025-06-01,2026-05-08,volume_spike_strict,544,10.827909288257997,18.93849007016367,55.935356078656795,43.80565096985679,12.129705108800003,375,6.302866246698959,14.777832605039261,39.32884414251959,34.90437652655019,4.424467615969405,-7.705237492830598
2025-07-01,2026-05-08,volume_spike_strict,543,8.077818863797413,14.333146807066061,41.50360094308571,38.542464037629834,2.9611369054558736,364,4.272576082860671,11.272159281775126,32.182672705946956,31.338997392508464,0.8436753134384922,-2.1174615920173814
2025-08-01,2026-05-08,volume_spike_strict,530,2.7851946020806846,7.700004532695771,31.67580772579317,33.19716072407295,-1.5213529982797809,347,1.2612244673364812,5.36590872469588,24.471511329506463,28.449015457183123,-3.97750412767666,-2.456151129396879
2025-09-01,2026-05-08,volume_spike_strict,514,1.6157607426258884,4.473603794314697,27.85680714832039,31.09814760824742,-3.241340459927031,324,0.694746485539657,2.9215626144442703,21.844441891048202,26.438672601090403,-4.594230710042201,-1.3528902501151698
2025-10-01,2026-05-08,volume_spike_strict,505,2.653463718712727,4.587335089264933,27.000694600731556,29.552042076858058,-2.5513474761265016,299,1.8643885991794564,2.9250595997405116,20.971547843915978,24.04579946377333,-3.0742516198573533,-0.5229041437308517
2025-11-01,2026-05-08,volume_spike_strict,485,0.7626287944644763,1.7280027027069182,22.26605869605721,26.214199058921167,-3.948140362863956,278,1.7723466501609646,4.52062803484233,19.506107354369227,20.543265044543887,-1.0371576901746593,2.910982672689297
2025-12-01,2026-05-08,volume_spike_strict,470,1.493874789441137,5.840063957512486,21.230522377812758,21.49712180327184,-0.26659942545908066,262,2.4743945112352708,7.204334803412788,19.810982287178657,17.509953920066184,2.3010283671124725,2.567627792571553
2026-01-01,2026-05-08,volume_spike_strict,449,3.0847963469573743,4.659714837570695,19.317021628948993,14.797904916093087,4.519116712855906,242,2.925838020572475,6.627066906098052,17.21383768834112,13.560312981470092,3.6535247068710266,-0.8655920059848796
2026-02-01,2026-05-08,volume_spike_strict,345,2.033684161457229,4.0452040734483194,16.428111678421633,10.442581113921072,5.985530564500561,163,2.9519806787862826,6.3296211254726265,18.16916504269888,10.071831601231835,8.097333441467043,2.1118028769664825
2026-03-01,2026-05-08,volume_spike_strict,285,6.536027121745691,14.160351319626335,15.34897207789291,12.13700360907261,3.2119684688203005,125,4.818834488949169,13.155174081931609,15.249033064778352,10.779741984723492,4.469291080054861,1.2573226112345601
2026-04-01,2026-05-08,volume_spike_strict,201,7.540842378377391,,11.013628936247223,8.025282531038,2.9883464052092226,89,8.615142171442187,,12.920226323171562,7.686515136805047,5.233711186366515,2.245364781157292
2026-05-01,2026-06-01,volume_spike_strict,24,,,5.384449946809286,1.6730057932251237,3.7114441535841625,12,,,5.902752965990292,1.3028160335044816,4.59993693248581,0.8884927789016475
